tweet,label
WHO backtracked and released a document stating masks are not efficient to protect healthy people against COVID-19.,fake
US builds biological labs only on the territories of other countries.,fake
Prosecutor Fatime Fetai tested positive for COVID-19,fake
The leaves of the guava tree prevent and reverse the new coronavirus.,fake
"Homeless man in Punkunnam, Kerala, India, tested positive for COVID-19.",fake
"As part of vaccine trials, Dr. V.K. Srinivasan of Bharath Biotech took the COVID-19 vaccine",fake
A post stating that a local magazine in Ecuador revealed corruption in test purchase for COVID-19.,fake
"There is a Nipah Virus outbreak in India amidst coronavirus pandemic, according to a warning form the WHO.",fake
Actor Chuck Norris died of COVID-19.,fake
There is microchip that will be implanted in the future coronavirus vaccine to control the population for political and economic purposes.,fake
Antibodies for the common cold produce a positive COVID-19 test. False-positive results from COVID-19 antibody testing are behind the COVID-19 cases reported in the U.S.,fake
Audio message circulating on WhatsApp saying that clinics and hospitals are looking for asthma patients to get sick from COVID-19.,fake
"Doctor says chloroquine cures COVID-19 and wearing masks can turn your blood into acid, which can help the proliferation of the novel coronavirus.",fake
IMSS training on prevention must be paid COVID-19,fake
Infrared thermometers cause brain damage.,fake
"Liquig???? a Brazilian energy company, is giving out free propane canisters to people who lost their income because of COVID-19 lockdowns.",fake
Henry Kissinger said that population reduction should be done by vaccines ?????or the common good????,fake
"Banana contains a lectin that is a powerful anti-COVID19 agent, blocking the virus from entering the cell. Eating a banana a day is recommended.",fake
Boldo tea can cure COVID-19 in three hours.,fake
Carrefour is offering a R$ 300 voucher for families in need during the COVID-19 crisis.,fake
"A picture of a mansion. The caption says that Jo???Doria, governor of S???Paulo, wants you to be at home because he lives in this house.",fake
"Video representing the plight of migrant workers in India during the current lockdown, where a woman with infant had to travel while sitting on the coupler between train bogies.",fake
Video showing a overcrowded Sharmik trains operated by the government of India for the travel of stranded migrant labourers during the current lockdown.,fake
"Video showing people flouting lockdown rules in West Bengal, India.",fake
Photo showing the wounds on the feet of migrant labourers who had to travel all the way to their native places by foot due to the lockdown restrictions in India.,fake
The headline of the article claims that Macedonia has three times more active coronavirus patients than China.,fake
Group immunity will not be achieved soon according to an audio message circulating in Mexico.,fake
Research proves that commercial mouthwash could protect against COVID-19.,fake
"If These 11 States Beat Covid, India Can Win, PM Tells Chief Ministers",real
Google launches new global Covid-19 map for journalists,real
How to make COVID vaccine at home' was the second most searched Google query last month!,real
"Pranab Mukherjee, a man of all seasons",real
"Covid-19: Over 15 lakh patients cured in India so far after highest-ever 54,588 in a day",real
Drinking alcohol kills the coronavirus.,fake
Data shows that 3 out of every 5 Nigerians who die from #COVID19 are more than 50 years old. Do all you can to protect yourself parents &amp; older relatives; ? Wear a face mask in public ? Practice hand/respiratory hygiene ? Maintain physical distance #TakeResponsibility https://t.co/Yc4igVCJBp,real
Our daily update is published. Six states (AR/CT/KS/KY/NH/RI) did not report by our publish time today. Based on past numbers it looks like many more states reduced testing and reporting over the holiday weekend. 42.5K new cases today. 654K new tests. 209 deaths reported. https://t.co/gqOJHAKu5u,real
Privacy vs effectiveness: The challenges of developing coronavirus contact-tracing apps,real
Coronavirus Updates: AIIMS panel gives nod for human clinical trials of indigenous vaccine candidate COVAXIN,real
"Russia becomes first country to approve a COVID-19 vaccine, says Vladimir Putin",real
COVID vaccine: Serum Institute's Adar Poonawalla says India to have vaccine by December,real
"Economic activities start to peter out after early signs of revival, shows Apple, Google data",real
"Covid-19 impact: Google employees told they can work from home till mid-202real in India, globally",real
Google Announces New Initiative to Help Students With Remote Learning Tools Amid Covid-19 Crisis,real
Mobile App Stores Market Research with COVID-19 | Google ...,real
Largest human trial of Indias coronavirus vaccine to begin at Delhi AIIMS from Monday,real
Explained: To what extent did the Covid-19 lockdown affect global temperatures?,real
"As #COVID-19 drives action on obesity, could 'soda taxes ...",real
"Texas Has Too Many Cases to Reopen, Governor Warns",real
"Trending News: Covid-19 Impact On Virtual and Augmented Reality Market Key Vendor, Landscape Overview, Drivers And Regional Analysis By 2026 | Google, Samsung Electronics, Microsoft Corporation, Sony Interactive Entertainment",real
"Nokia Phone Maker HMD Global Secures $230 Million Investment From Google, Others",real
"Mozilla Lays Off Nearly 250 Employees, Ceases Taipei Operations Due to Pandemic-Hit Revenues",real
"Coronavirus vaccine update: Good news about Oxford COVID-19 vaccine may be expected today, says a new report",real
"PM Modi, Google CEO Sundar Pichai discuss data security, use of AI in agriculture",real
Google to stop ad money from reaching fake Covid-19 conspiracy theorists,real
Google Coronavirus Apps Give it Way to Access Location Data,real
Karnataka Bengaluru Coronavirus July 17 Highlights: BBMP directs city burial grounds to accept dead bodies irrespective of location,real
Cloud is a $3?? bn opportunity in India & Covid is going to ...,real
"Google Contributes $39.5 Million in Funding to More than 5,600 News Publishers Amid Covid-19 Crisis",real
Oxford COVID vaccine likely to hit Indian market by early 202real: Serum Institute's CEO Poonawalla,real
Coronavirus: India's Covid-19 cases surge past one million,real
"Shivraj Singh Chouhan Tests Covid Positive, Admitted To Hospital",real
"RIL AGM: Google to invest ??3,737 crore in Jio Platforms for 7.7% stake",real
From Intel and Wipro to TCS and Google??Here are the top job openings in the multinational companies,real
Coronavirus: Bollywood actress Aishwarya Rai Bachchan in hospital,real
PUBG Mobile Launches Running Challenge for Players to Contribute to COVID-19 Aid,real
Coronavirus: New Zealand investigates freight as possible source of new COVID-19 outbreak,real
"Apple, Google and Sony will be critical to MLB season shortened by coronavirus",real
Explainer: Why Google and Facebook are investing in Mukesh Ambani? ,real
Coronavirus: Face masks and coverings to be compulsory in England's shops,real
How does COVIDSafe compare to Europe's contact tracing apps?,real
Coronavirus UK map: the latest deaths and confirmed Covid cases,real
Coronavirus: Six types of COVID-19 identified by scientists in 'major' breakthrough for treatment,real
Google News To Soon Highlight Regional COVID-19 Information From Local Publishers,real
"Alberta has most active COVID cases per capita, as some ...",real
"Coronavirus Outbreak LIVE Updates: With 118 new COVI..y in Maharashtra crosses 3,00fake-mark; toll rises to 194",real
COVID-19: Google commits $6.5 Mn to fight misinformation,real
Google Says That Searches Related To COVID-19 Have Dropped In June,real
India coronavirus numbers explained: Why cases came down on Monday,real
"Have Apple, Google Silently Installed COVID-19 Tracker on Your Phone? Here? ?What You Need to Know",real
India? ?first Covid-19 vaccine races to meet mid-August target,real
"Google highlights Covid-19 updates in News, Search, Assistant and Podcasts",real
Coronavirus Outbreak Updates: 600 new cases detected..CMR; Odisha to set up two dedicated COVID-19 hospitals,real
"COVID-19: Google launches a relief fund, following Facebook",real
India Probably Has Tens of Millions of COVID-19 Infections Already',real
"Coronavirus Outbreak Updates: Maharashtras cases sur..est positive; toll mounts to 5,984 with 160 fatalities",real
Coronavirus Outbreak Updates: Bihar govt says six of nine COVID-19 cases in state have no travel history,real
Covid-19: Google India claims it has ramped up efforts to help fight virus,real
Google Bangalore employee tests positive for coronavirus,real
2 With No Foreign Travel Link Test Positive As Coronavirus ...,real
"Coronavirus update: Total cases in India climb to 1171, death toll at 29.",real
Coronavirus Outbreak Updates: Fourth positive case r..quarters in Delhi; 23 more test positive in Chandigarh,real
COVID-19 App Technology Urge Apple And Google To Hold Talks,real
Number of Covid-19 cases soar to 341 in India: ICMR,real
"Coronavirus vaccine update: Nod to human trial marks 'beginning of the end', says govt",real
"Google launches COVID-19 page and search portal with safety tips, official stats and more, US-only for now",real
Coronavirus Outbreak Updates: Film producers associa.. Thackeray requesting resumption of film and TV shoots,real
Google waives Ad Serving fee for 5 months to support news partners during COVID-19 crisis,real
Coronavirus India Updates: Centre postpones CTET exa..CBSE was to conduct teacher eligibility exam on 5 July,real
"Covid-19: West Bengal to club containment, buffer zones for tougher lockdown from 9 July",real
"Coronavirus Outbreak Updates: Uttar Pradesh reports ..l to 114; 203 more test positive, total rises to 4,258",real
Who are India? ?covid-19 patients?,real
Coronavirus update: Number of COVID-19 cases jumps to 236 in India today,real
"Google employee down with COVID-19, Amazon curbs travel",real
"Coronavirus Outbreak Updates: Confirmed cases in Pun..trict records 342 new infections, six deaths in 24 hrs",real
Coronavirus: Google Maps to Alert Users About COVID-19-Related Travel Restrictions,real
Kerala capital Thiruvananthapuram to undergo 'triple lockdown' for a week,real
Coronavirus Outbreak Updates: Gujarat BJP MLA Balram..ve for COVID-19; 423 new cases reported in state today,real
"Stung by Covid-19, Google, Facebook extend work-from-home plans until 202real",real
"Coronavirus Outbreak Highlights: G20 leaders to supp..ng WHOs mandate, pledge $5 trillion for global economy",real
"Coronavirus update: Record spike in new cases in India, 5.3 lakh cured so far",real
"Coronavirus Highlights: India's COVID-19 Tally Crosses 7 Lakh-Mark With Over 22,00fake Cases In 24 Hours",real
"Google News featuring COVID-19 section across apps, Assistant, and Podcasts",real
"COVID-19: Apple, Google Partner on Contact Tracing Tech via APIs, Bluetooth",real
Google tax: India? ?tightrope walk in Covid-crippled times,real
"Google Play store hides search results for coronavirus, Covid-19",real
Google hosts webinar on dealing with misinformation amid COVID-19 pandemic,real
Google employee from Bengaluru is Karnataka's fifth coronavirus case,real
"India's confirmed coronavirus cases breach real,800-mark, death toll at 41: Here's state-wise tally",real
"People searching terms 'ration dukaan', 'how to homeschool kids' amid COVID-19: Google report",real
Google rolls out India-specific website on COVID-19,real
She has been in managed Isolation at the Distinction Hotel in Hamilton and tested positive around day 3 of her stay. ??We have 13 new confirmed cases in Auckland. They are all linked to the 4 people who we reported as cases yesterday and the day before.,real
"The Gates Foundation ""has the patent for this coronavirus.""",fake
Nashville Man Thinks World Is Upside-Down but Respects that World Doesn't Care What He Thinks https://t.co/xAw4YLwLsl #coronavirus,fake
"14 China Muslims hidden at Bihari mosque has been taken to corona virus test by Bihari police. Erode police has caught Thailand Muslim mullahs infected with corona virus. Today Salem Police has caught 11 Indonesian Muslim mullahs at Salem mosque. This video shows that they are applying and putting saliva on spoons, plates and utensils and also they are in the intention of spreading corona virus disease. Nobody knows what's happening in the Nation",fake
There are also clear *demand* constraints as testing criteria remain quite strict. We are still getting reports from all over of people who have been able unable to get tested despite having a good reason to do so.,real
Coronavirus found in gutkha or chewing tobacco samples sold in Indian state of Maharashtra as raw material sourced from China.,fake
Clinical senior lecturer at King's College London Dr Claire Steves says 'two symptoms of #COVID19 that are not on the core list are headaches and fatigue' and discusses what symptoms warrant a test for #coronavirus ?? Latest: https://t.co/gpqYW8xYoB https://t.co/nmvIiVwZ3P,real
@FriedrichHayek @NateSilver538 Not meaningless but also before this epidemic pneumonia deaths were considered a very unstable number... so keep that in mind. -@alexismadrigal,real
@LimaEleanor Kia ora Elanor there are currently 21 active cases in New Zealand they were all caught at the border and we have no evidence of community transmission.,real
Update from the @minhealthnz ? Today there are 3 new cases of COVID-19 to report in managed isolation and quarantine facilities in NZ. There continue to be no new cases in the community.??Our total number of active cases is 21 - all of which remain in quarantine facilities.,real
The new coronavirus does not settle in the air but is grounded so it is not transmitted by air.,fake
If you have signs of a heart attack or stroke while staying at home during #COVID19 call 9-1-1 right away. Emergency responders and emergency departments have plans in place to help protect you from COVID-19. Learn more: https://t.co/4i0e7Cw3m1. https://t.co/ZqLIrVCHXI,real
The Access to #COVID19 Tools (ACT) Accelerator brings together governments health organizations scientists businesses civil society &amp; philanthropists to speed up an end to the pandemic. ??https://t.co/fXHNTOsLVR https://t.co/kTXtFlm2jU,real
Says the CDC now says that the coronavirus can survive on surfaces for up to 17 days.,fake
"The Chinese government announced that ""garlic is a preventative food for the the novel coronavirus.""",fake
Flood Hit Areas Pretend To Have Coronavirus In Bid To Get Government's Attention https://t.co/NKpkH0cY0Z,fake
"@Dianes_Bucket @arkless_kevin @ReeeeSpectWalk @ftwrharry @wolfiecindy 'Spanish Flu' was propaganda to cover up the millions of soldiers who died from military vaccines, WWI war trauma, radiation effects and hysteria (lots of Aspirin overdose by people who thought it would protect them).",fake
Facebook post that compares deaths in Italy during coronavirus pandemie with deaths during seasonal flu outbursts from 2014 to 2017. The post says that during 2014 seasonal flu outburst 375 000 people died in Italy and it was the real problem and coronavirus deaths compared to this aren't serious.,fake
#IndiaFightsCorona: @MoHFW_INDIA urges States/UTs to mandatorily retest all symptomatic negative cases of rapid antigen tests through RT-PCR States/UTs to ensure that no positive cases are missed to curb the spread of infection Details : https://t.co/0wwEmA6Trm #StaySafe https://t.co/BquM1JSsaY,real
#IndiaFightsCorona #COVID19 Recoveries exceed active cases by more than 2.1 million. There has been more than 4 times jump in the average weekly recoveries from the first week of July to last week of August. https://t.co/HRyyaWhdJR,real
#COVID19 spreads mainly among people who are in close contact with one another (less than 6 ft). Wear a mask in public &amp; when around people not living in your household especially when social distancing is difficult to maintain. https://t.co/jkWwZTxyhs #WearAMask #WorldMaskWeek https://t.co/rzVjZ4sVuE,real
As of today 18% of all the samples tested for #COVID19 have been positive. Currently 15288 beds (#Isolation #ICU and #Ventilator supported) are vacant in #Telangana. #COVID__19 #Covid_19 #COVID??9 #COVID #CoronaUpdates #CoronaVirusUpdates #CoronavirusPandemic #Coronavirus https://t.co/hVFAOBoEKO,real
NCDC is committed to strengthening #COVID19 response in all states in Nigeria Our rapid response team in Kaduna State is supporting through activities including ? Sample collection at quarantine centers ? Assessment of an additional isolation centre ? Training of health workers https://t.co/mYZ3twrTzo,real
"Tablik Jamaat Chief Maulana Saad: ""If 70000 people get coronavirus India will be destroyed. The country will be in our possession.""",fake
Hand dryers are not effective in killing coronavirus. #WhatsAppForwards are not always true; they can be misleading false or satire. Don't believe everything you see. Verify before sharing and become a #Newschecker and make #MainBhiNewschecker your signature. https://t.co/YB5ed7exEV,fake
As Florida's outbreak surges there have been a lot of questions about the state's data. Here's a very deep dive by @olivierlacan and @NotoriousRSG into what we know what's wrong and what's missing. https://t.co/saqsqrRlZu https://t.co/gbfLivkiER,real
Maine governor mandates dog cone wearing for restaurant staff instead of mask https://t.co/PN9bWrK3gP #coronavirus #josephbiden,fake
Your household plan for #COVID19 should include 1) talking with the people who need to be included in your plan &amp; 2) planning ways to care for those who might be at greater risk for serious complications. Learn more: https://t.co/isBYfXNv5A.,real
#IndiaFightsCorona: India registers a record of highest single day recoveries  More than 1 lakh patients recovered in the last 24 hours #StaySafe #IndiaWillWin https://t.co/QIHLyf4uyp,real
As at 08:00 pm 31st March there are 139 confirmed cases 9 discharged 2 deaths For a breakdown of cases by states in real time visit https://t.co/zQrpNeOfet Currently; Lagos- 82 FCT- 28 Oyo- 8 Osun- 5 Ogun- 4 Kaduna- 3 Enugu- 2 Edo- 2 Bauchi- 2 Ekoti- 1 Rivers-1 Benue- 1,real
Photo shows the last meeting of a Turkish doctor who died due to COVID-19 with his child in Munich.,fake
One state situation worth highlighting is Michigan. Large numbers of positives deaths rising and an uncertain testing situation. Very worrisome overall. https://t.co/f7vdf5Vevk,real
Only aggressive action combined with national unity and global solidarity can turn the #COVID19 pandemic around-@DrTedros,real
Visit https://t.co/DYojLfjhyd to stay up-to-date on the latest COVID data for your state or county. Our warning system focuses on 4 key metrics: Infection Rate Positive Test Rate ICU Headroom Used Contact Traced Data updates every 3 days so be sure to check back regularly.,real
18 states including US UK and Australia request PM Modi to head a task force to stop coronavirus.,fake
Yesterday our laboratories completed 2191 tests. That brings the total number of tests completed to date to 446367.? ⁣,real
We fact-checked a range of statements from the second night of #DNC2020. Here are highlights dealing with coronavirus case numbers and the #TrumpAdministration? s position on the #ACA. https://t.co/bKhYJteUmf,fake
White House launches Trump-branded coronavirus medicine.,fake
Video of Tabligi pilgrims who were moving via trucks to spread COVID-19 in India.,fake
Cold weather will kill coronavirus. No wait. Hot weather will kill corona. Did you also fall for these contradictory hoaxes? Don't fall the fake news &amp; misinformation. Participate in our #MainBhiNewschecker initiative &amp; we will fight the infodemic together. #CoronavirusFacts https://t.co/6vi1gzKVsA,fake
A two-stent approach to complex coronary bifurcation lesions yielded improved clinical outcomes. https://t.co/lpVPeVcseW,real
Beware Of A Donald Trump Vaccine https://t.co/RkjO91lleP #jaredkushner #billbarr,fake
Solidarity is needed to provide a joint solution to the #COVID19 pandemic. The COVAX ?? Vaccines Facility is the critical mechanism for joint procurement &amp; pooling risk across multiple vaccines which is why I sent a ?   to every Member State encouraging them to join-@DrTedros,real
#IndiaFightsCorona India has reported the highest number of total #COVID19 recoveries with more than 42 lakh. https://t.co/Cfll8d12X4,real
#CoronaVirusUpdates: #COVID19 testing status update: @ICMRDELHI stated that 59429115 samples tested upto September 15 2020 1116842 sample tested on September 15 2020 #StaySafe #IndiaWillWin https://t.co/7NF57ELbUY,real
RT @mygovindia: India crosses 1 Million landmark of COVID-19 tests in 24 hours. #IndiaFightsCorona https://t.co/VwhwhCBNKA,real
_A vaccine for the new coronavirus has been created by US scientists and will be ready to use from next Sunday._,fake
"A tweet from President Donald Trump that says, before the U.S. issues financial assistance to individuals to deal with the coronavirus pandemic, ""we will go through your social media history from the last 4 years and search for any post with #NotMyP...",fake
There are nine previously reported cases that are now considered to have recovered from COVID-19. Our total number of active cases is 62 - of those 29 are imported cases in MIQ facilities and 33 are community cases.,real
The latest CDC #COVIDView report shows the percentage of deaths attributed to #COVID19 increased for 4 weeks in July after being on the decline since mid-April. This percentage has decreased for the past 2 weeks but remains above the epidemic threshold: https://t.co/zP4VYlo0Pb. https://t.co/KFNGebIq15,real
A video claims that Bill Gates made a presentation to the CIA on COVID-19 vaccines for modifying the brain of religious fanatics.,fake
#NCDCInTheNews ? The Nigeria Centre for Disease Control has warned Nigerians to beware of scammers posing as the Centre to defraud unsuspecting citizens???? Read https://t.co/jwMyf1wo75,real
Social gatherings of more than six people will be banned across England Wales and Scotland from tomorrow. But what are the new rules what happens if you break them and how do they differ across the nations? ??,real
In Texas too daily average deaths have risen ~50% in the last two weeks. Read more on the complexities of lag times changing demographics and COVID-19 deaths here: https://t.co/ZXFERIyS6I https://t.co/mVKwD3RdbM,real
A photo of people lying in the street is accompanied by a caption implying they are coronavirus victims in China.,fake
Officials are skeptical that supply won? t address demand during a second wave of #COVID. https://t.co/BsX3e415oX,real
A viral video shows a group of doctors airing unproven conspiracy theories about the coronavirus. One of the most inaccurate claims comes from Dr. Stella Immanuel who has a track record of making bizarre medical claims such as believing in alien DNA. https://t.co/vIH89dohRh,fake
"Schoolchildren and their parents could be prioritised for coronavirus tests - after hospitals and care homes - as the government deals with ""real challenges"" in the system a cabinet minister has told Sky News https://t.co/9CAxjjROe4",real
CORRECTION: We noticed an error in our update at 8:35pm. It should be: 14 new cases of #COVID19 have been confirmed in Nigeria: 1 in FCT 1 IN BAUCHI &amp; 12 in Lagos Of the 14 6 were detected on a vessel 3 are returning travellers &amp; 2 are close contacts of confirmed cases https://t.co/Pe6owiXBKB,real
Review the 7 #coronavirus vaccines currently in phase 3 trials. https://t.co/nk14mJGg6o via @methodsmanmd https://t.co/zluWj8I98Z,real
#IndiaFightsCorona: 70% of the Total Active Cases are found in nine most affected States/UTs. 90123 new cases have been reported in the last 24 hours in the country. Details : https://t.co/5fCNA5rmlw #StaySafe #IndiaWillWin https://t.co/G1iUJoLsZ8,real
@Lord_Loredo @James_Gross Yeah California has been a bear for two reasons: 1) Their reporting has been very irregular (until recently). 2) They have reported on both sides of our daily 4pm commit. 3) They have dropped huge pending numbers the last 2 days (only one of which got captured in our daily #s),real
Several sites tracking COVID-19 hit a grim milestone today: more than 200000 deaths since the pandemic began. Our figures haven? t yet reached that level. Here? s why. https://t.co/21z83bn3eA,real
There are 4 #COVID19 Govt. testing lab in #Agra #UttarPradesh. Kindly refer to the following link for details: https://t.co/SQCvfE2ZNc #COVID__19 #COVID #COVID_19 #COVID??9 #COVID19India #Corona #coronavirus #CoronavirusIndia #CoronavirusPandemic https://t.co/nPLgGkj2yb,real
#IndiaFightsCorona: #COVID19 does not even spare alcoholics. So bust this myth and stop consuming alcohol to safeguard yourself from #Coronavirus. Better be at home and take precautionary measures to fight against #CoronavirusPandemic. #StaySafe #IndiaWillWin https://t.co/7gRF2GXqEv,real
We? d also like to call attention to the incredible job Florida and @HealthyFla are doing releasing data. Not only do they provide hospitalization rates and lab-by-lab testing results but a ton of other data: https://t.co/huWcCqGfgf,real
#IndiaFightsCorona: One of the lowest globally India? s Case Fatality Rate 1.76% and sliding Health Ministry issues FAQs on better Clinical Management of #COVID patients in ICUs #StaySafe #IndiaWillWin https://t.co/cJGczBOzKW,real
A person with a cold or flu will test positive for COVID-19,fake
Claim: The ? Fund of Funds??part of the #COVID19 stimulus will mobilise equity of ~Rs 50000 cr for MSMEs Fact: A similar fund set up in 2016 to mobilise Rs 60000 cr for start-ups disbursed only 6% of planned amount https://t.co/wF9lG2PM0F,fake
Detainees in Mpimba central prison Burundi died due to COVID-19 and that some contracted the coronavirus.,fake
Virtually all British physicians feel concern about the indirect impact of coronavirus on their patients. https://t.co/MqfXk7l4ho https://t.co/qc327GTzG0,real
Now we? re moving to a new phase where many of us are heading back to work and school for the first time in a while. Stay healthy and stay safe New Zealand.,real
Bechara Covid19 se down hai else he would have give a nice acceptance speech. Dad this is for you https://t.co/8yZfJ0TK6V https://t.co/3rnfijiwOb,fake
